student_id,years_since_placement,current_designation,current_company,current_ctc_lpa,promotions_count,switched_domain,switched_company
S03483,2,Data Analyst,Infosys,13.24,1,False,False
S00532,3,Cloud Engineer,Accenture,15.98,1,False,False
S01054,3,Systems Engineer,Cognizant,12.94,1,True,False
S00687,2,Cloud Engineer,Microsoft,63.84,1,True,False
S04418,1,Data Analyst,Uber,67.3,1,False,True
S00690,1,Junior DevOps Engineer,Accenture,9.3,0,False,False
S03110,1,Junior DevOps Engineer,Accenture,9.3,0,False,False
S04086,5,Engineering Manager,TCS,26.0,4,False,True
S00177,1,Junior DevOps Engineer,Wipro,7.27,0,False,False
S01262,1,Graduate Trainee Engineer,Infosys,8.26,0,False,False
S04773,3,Consultant,Zomato,18.05,1,False,True
S03987,1,Associate Analyst,Accenture,9.49,0,False,False
S01576,1,Associate Software Engineer,Accenture,9.91,0,False,False
S03973,1,Junior DevOps Engineer,TCS,8.61,0,False,False
S02203,3,Senior Consultant,Atlassian,19.33,2,True,True
S01904,2,Systems Engineer,Oracle,66.7,1,False,True
S01222,5,Data Science Lead,Infosys,22.0,3,True,True
S00330,2,Senior DevOps Engineer,Paytm,14.15,2,False,True
S01232,2,Associate Analyst,TCS,11.66,0,False,False
S00261,2,Software Engineer,TCS,9.87,1,False,False
S03226,4,Systems Engineer,Adobe,15.89,1,False,True
S03866,3,Senior Data Analyst,TCS,16.24,2,False,False
S01037,3,Senior Data Analyst,TCS,15.03,2,False,False
S04988,5,Senior DevOps Engineer,Wipro,113.29,2,False,True
S03243,5,Technical Lead,TCS,16.77,3,False,False
S00929,1,Associate Software Engineer,Uber,49.74,0,False,False
S00652,1,Junior DevOps Engineer,Capgemini,9.2,0,False,False
S00844,2,Senior Consultant,Atlassian,17.12,2,False,True
S00263,2,Associate Software Engineer,Zomato,58.34,0,True,True
S03769,5,Principal Architect,Wipro,23.64,4,False,False
S04485,2,Data Analyst,Capgemini,11.07,1,False,False
S04736,3,DevOps Architect,Swiggy,15.97,3,True,True
S02426,4,Lead Software Engineer,Wipro,19.46,3,False,True
S01470,1,Associate Analyst,Flipkart,12.61,0,False,True
S04694,2,Graduate Trainee Engineer,Paytm,62.12,0,False,True
S02076,5,Senior DevOps Engineer,Atlassian,19.75,2,False,True
S03347,4,Senior Software Engineer,Salesforce,18.33,2,True,True
S01630,1,Graduate Trainee Engineer,Google,43.02,0,False,False
S02218,5,DevOps Architect,Wipro,17.04,3,False,False
S04903,1,Graduate Trainee Engineer,Infosys,10.47,0,True,False
S04159,1,Graduate Trainee Engineer,Cognizant,9.05,0,True,False
S00750,5,Lead Software Engineer,Accenture,24.93,3,False,True
S03003,5,Technical Lead,Wipro,20.11,3,False,False
S01512,3,Data Analyst,Accenture,12.95,1,False,False
S02949,2,Consultant,Razorpay,70.58,1,True,True
S01881,1,Junior DevOps Engineer,Infosys,8.97,0,False,False
S02477,2,Cloud Engineer,Infosys,12.48,1,False,False
S04789,5,Lead Software Engineer,Infosys,19.71,3,False,False
S01475,2,Junior DevOps Engineer,Wipro,8.88,0,True,False
S04103,2,Senior DevOps Engineer,Accenture,13.02,2,False,False
S02759,3,Senior Data Analyst,Zomato,83.25,2,True,True
S01256,3,Data Science Lead,Uber,80.41,3,False,False
