student_id,tenth_percentage,twelfth_percentage,cgpa,active_backlogs,aptitude_score,coding_score,dsa_score,dbms_score,os_score,oops_score,sql_score,python_score,communication_score,projects_count,project_quality_score,certifications_count,internship_count,hackathon_count,mock_interview_score,learning_hours_per_week,placement_status,company_track
S00001,93,83,6.33,1,40,94,94,43,22,41,72,21,49,5,21,4,0,3,77,23,1,Product_Ready
S00002,79,81,8.25,0,79,99,34,81,81,66,81,70,74,3,83,8,2,4,70,8,1,Service_Ready
S00003,75,63,5.79,2,79,33,28,72,21,79,90,63,27,6,54,0,3,1,23,3,0,Not_Placed
S00004,60,96,8.05,0,37,63,53,93,81,33,67,34,91,5,81,7,0,4,72,25,0,Not_Placed
S00005,80,79,6.76,0,60,48,34,64,84,90,28,20,27,7,82,2,0,2,54,34,0,Not_Placed
S00006,59,96,7.11,0,26,92,91,31,53,52,67,42,81,7,56,2,3,5,54,2,1,Product_Ready
S00007,89,91,9.87,1,24,33,46,28,98,34,61,96,70,6,71,3,1,4,42,16,0,Not_Placed
S00008,97,83,6.53,0,78,47,85,61,64,81,76,25,47,3,63,3,1,5,94,29,0,Not_Placed
S00009,79,93,9.58,0,46,81,96,22,89,91,46,28,81,4,70,9,3,2,51,33,1,Product_Ready
S00010,78,95,7.32,0,77,71,31,58,21,22,75,78,21,1,73,6,0,0,20,20,0,Not_Placed
S00011,56,80,9.94,0,87,74,94,75,36,57,43,88,89,5,30,0,0,3,78,7,1,Product_Ready
S00012,70,83,9.36,0,55,38,86,38,39,90,71,52,59,7,58,1,3,0,30,29,1,Service_Ready
S00013,79,77,7.94,0,26,35,79,21,20,67,31,88,56,7,28,8,2,2,67,17,0,Not_Placed
S00014,57,74,9.49,1,43,94,91,55,57,44,37,85,73,2,99,8,3,0,87,34,1,Product_Ready
S00015,68,75,6.3,0,27,26,86,36,52,67,95,78,41,5,49,5,1,4,70,9,0,Not_Placed
S00016,81,81,9.08,0,47,83,88,80,67,38,23,54,83,0,36,4,1,2,56,25,0,Not_Placed
S00017,83,85,9.84,1,82,51,52,86,37,44,73,77,86,7,65,7,1,5,42,3,1,Service_Ready
S00018,81,96,9.45,0,52,28,62,67,58,61,45,69,44,7,32,9,2,0,55,21,0,Not_Placed
S00019,55,62,8.66,1,95,34,85,51,82,70,44,77,82,5,41,9,1,5,68,7,1,Service_Ready
S00020,69,97,6.07,0,72,79,24,87,25,66,74,59,71,7,32,1,3,1,49,20,1,Service_Ready
S00021,71,73,7.48,0,81,42,28,31,20,77,20,53,67,0,20,6,3,4,41,30,1,Service_Ready
S00022,57,66,8.05,0,76,48,97,88,66,81,88,95,35,1,67,4,2,3,52,31,0,Not_Placed
S00023,91,77,5.72,2,53,71,29,38,77,20,88,23,35,7,99,6,1,0,51,28,0,Not_Placed
S00024,74,78,8.55,0,52,52,80,70,62,31,86,84,52,7,93,1,0,2,54,24,1,Service_Ready
S00025,71,80,6.94,1,53,26,87,77,94,48,55,40,55,1,92,7,3,2,68,19,1,Service_Ready
S00026,93,86,7.03,2,56,31,74,32,42,49,36,81,32,2,38,0,3,3,80,20,0,Not_Placed
S00027,66,63,6.94,2,71,35,88,31,44,71,72,42,35,0,58,4,1,1,58,15,0,Not_Placed
S00028,85,59,8.82,0,94,37,95,28,93,77,36,26,65,4,59,9,0,1,46,3,1,Service_Ready
S00029,59,83,5.88,3,84,36,90,64,23,55,89,50,38,4,73,6,2,1,38,4,0,Not_Placed
S00030,67,82,8.07,0,91,80,58,20,22,96,81,82,44,7,52,5,0,5,77,33,0,Not_Placed
S00031,75,70,7.87,3,55,38,39,76,37,66,68,33,34,6,20,4,1,5,22,17,0,Not_Placed
S00032,77,65,6.76,2,91,95,43,47,27,55,27,77,79,1,47,4,0,3,83,28,1,Service_Ready
S00033,71,63,6.89,1,48,32,65,54,25,88,66,44,85,1,75,1,2,4,24,34,0,Not_Placed
S00034,55,72,9.94,0,45,82,78,46,68,96,52,20,40,7,74,5,3,0,88,32,1,Product_Ready
S00035,59,92,9.61,0,72,56,93,93,36,97,92,20,70,4,96,3,1,0,51,29,1,Service_Ready
S00036,85,62,5.6,0,73,22,69,31,84,73,24,76,36,7,66,6,2,4,33,3,0,Not_Placed
S00037,65,93,6.11,0,57,69,49,98,70,82,71,57,98,3,49,6,1,2,24,30,1,Service_Ready
S00038,58,64,9.67,0,88,53,25,72,85,96,62,94,42,6,99,5,3,3,23,26,0,Not_Placed
S00039,57,86,7.63,0,69,80,70,38,40,24,61,80,41,4,89,0,0,0,31,27,1,Product_Ready
S00040,88,68,6.99,0,45,66,75,82,67,80,45,55,20,7,71,7,1,5,47,24,0,Not_Placed
S00041,68,78,8.74,0,78,75,26,22,42,37,57,34,83,0,47,9,2,0,36,23,1,Service_Ready
